duration,src_bytes,dst_bytes,class
con,con,con,cat
-2.302585092994045,225,1481,0
-2.302585092994045,327,14824,0
-2.302585092994045,321,581,0
-2.302585092994045,201,1803,0
-2.302585092994045,235,1944,0
-2.302585092994045,241,1484,0
-2.302585092994045,295,312,0
-2.302585092994045,215,664,0
-2.302585092994045,196,39873,0
-2.302585092994045,341,281,0
-2.302585092994045,282,290,0
-2.302585092994045,310,22263,0
-2.302585092994045,371,328,0
-2.302585092994045,229,2647,0
-2.302585092994045,261,9621,0
-2.302585092994045,235,1680,0
-2.302585092994045,201,362,0
-2.302585092994045,214,2286,0
-2.302585092994045,302,5790,0
-2.302585092994045,340,259,0
-2.302585092994045,146,1811,0
-2.302585092994045,181,4512,0
-2.302585092994045,279,370,0
-2.302585092994045,221,998,0
-2.302585092994045,226,1691,0
-2.302585092994045,314,398,0
-2.302585092994045,226,770,0
-2.302585092994045,196,9985,0
-2.302585092994045,286,1623,0
-2.302585092994045,221,753,0
-2.302585092994045,241,1262,0
-2.302585092994045,54540,8314,1
-2.302585092994045,307,397,0
-2.302585092994045,167,11762,0
-2.302585092994045,306,365,0
-2.302585092994045,305,784,0
-2.302585092994045,228,274,0
-2.302585092994045,262,8918,0
-2.302585092994045,345,294,0
-2.302585092994045,231,781,0
-2.302585092994045,165,1214,0
-2.302585092994045,217,379,0
-2.302585092994045,257,2652,0
-2.302585092994045,305,1405,0
-2.302585092994045,208,1002,0
-2.302585092994045,211,1707,0
-2.302585092994045,388,7270,0
-2.302585092994045,203,24572,0
-2.302585092994045,325,1645,0
-2.302585092994045,285,6356,0
-2.302585092994045,209,324,0
-2.302585092994045,322,1719,0
-2.302585092994045,257,259,0
-2.302585092994045,320,27946,0
-2.302585092994045,321,1193,0
-2.302585092994045,202,2435,0
-2.302585092994045,213,1697,0
-2.302585092994045,181,11310,0
-2.302585092994045,211,1335,0
-2.302585092994045,244,1054,0
-2.302585092994045,246,1576,0
-2.302585092994045,365,481,0
-2.302585092994045,226,415,0
-2.302585092994045,300,1146,0
-2.302585092994045,152,35215,0
-2.302585092994045,303,831,0
-2.302585092994045,223,3005,0
-2.302585092994045,234,2305,0
-2.302585092994045,215,2027,0
-2.302585092994045,297,327,0
-2.302585092994045,259,364,0
-2.302585092994045,316,2916,0
-2.302585092994045,305,3568,0
-2.302585092994045,184,437,0
-2.302585092994045,213,9673,0
-2.302585092994045,208,616,0
-2.302585092994045,240,7207,0
-2.302585092994045,306,2239,0
